ID,Gender,Race,Age_at_Release,Gang_Affiliated,Education_Level,Dependents,Prison_Offense,Prison_Years,Prior_Arrest_Episodes_Felony,Prior_Arrest_Episodes_Misd,Prior_Arrest_Episodes_Violent,Prior_Arrest_Episodes_Property,Prior_Arrest_Episodes_Drug,Prior_Arrest_Episodes_PPViolationCharges,Prior_Arrest_Episodes_DVCharges,Prior_Arrest_Episodes_GunCharges,Prior_Conviction_Episodes_Felony,Prior_Conviction_Episodes_Misd,Prior_Conviction_Episodes_Viol,Prior_Conviction_Episodes_Prop,Prior_Conviction_Episodes_Drug,Prior_Conviction_Episodes_PPViolationCharges,Prior_Conviction_Episodes_DomesticViolenceCharges,Prior_Conviction_Episodes_GunCharges,Percent_Days_Employed,Employment_Exempt,Recidivism_Within_3years,Recidivism_Arrest_Year1,Recidivism_Arrest_Year2,Recidivism_Arrest_Year3
31,M,WHITE,43-47,0,Some College,0,Property,1-2 years,10+,6+,3+,5+,0,5+,1,1,3+,4+,0,3+,0,1,0,0,0.714285714,0,1,1,0,0
32,F,WHITE,43-47,0,< HS Diploma,0,Property,1-2 years,10+,6+,2,5+,0,4,0,0,3+,4+,1,3+,0,1,0,0,1.0,1,0,0,0,0
33,M,WHITE,43-47,1,High School Diploma,1,Drug,1-2 years,10+,2,3+,4,2,5+,0,1,3+,3,1,1,2+,1,0,1,0.0,0,1,0,1,0
34,F,WHITE,38-42,0,Some College,3+,Property,1-2 years,10+,6+,0,5+,5+,5+,0,0,1,4+,0,3+,2+,1,0,0,0.0,1,1,1,0,0
35,M,WHITE,33-37,0,< HS Diploma,0,Drug,<1 year,5,6+,1,0,4,5+,0,1,3+,4+,0,0,2+,1,0,0,0.0,0,1,1,0,0
36,M,BLACK,48 or older,0,< HS Diploma,0,Drug,<1 year,10+,6+,1,5+,4,4,0,0,3+,4+,0,3+,1,1,0,0,0.654098361,1,0,0,0,0
37,M,WHITE,43-47,0,High School Diploma,2,Drug,<1 year,10+,6+,3+,1,5+,5+,0,0,3+,4+,1,0,2+,1,0,0,0.0,0,0,0,0,0
38,M,BLACK,33-37,1,< HS Diploma,0,Property,3+ years,10+,6+,0,5+,0,5+,0,0,2,4+,0,3+,0,1,0,0,0.0,0,1,0,0,1
39,M,BLACK,33-37,0,High School Diploma,3+,Violent/Non-Sex,<1 year,8,6+,2,2,1,5+,0,0,3+,4+,1,2,1,1,0,0,1.0,0,1,0,0,1
40,F,BLACK,38-42,0,Some College,1,Property,1-2 years,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.981412639,0,0,0,0,0
41,M,WHITE,33-37,0,High School Diploma,1,Property,3+ years,10+,6+,1,5+,1,5+,0,0,3+,4+,1,3+,0,1,0,0,1.0,0,1,1,0,0
42,M,BLACK,48 or older,0,High School Diploma,3+,Violent/Non-Sex,1-2 years,9,4,3+,0,0,4,0,1,2,1,1,0,0,1,1,0,0.886446886,0,0,0,0,0
43,F,WHITE,43-47,0,Some College,0,Property,<1 year,10+,6+,3+,5+,1,5+,0,0,3+,2,0,3+,0,1,0,0,0.0,0,1,1,0,0
44,M,WHITE,33-37,0,High School Diploma,3+,Violent/Non-Sex,<1 year,10+,6+,2,4,4,5+,0,1,3+,4+,1,1,2+,1,0,1,0.0,0,1,1,0,0
45,M,BLACK,43-47,1,High School Diploma,0,Drug,1-2 years,8,6+,3+,2,2,5+,0,1,3+,2,1,1,2+,1,0,1,1.0,0,1,0,1,0
46,M,BLACK,38-42,0,< HS Diploma,3+,Violent/Non-Sex,3+ years,5,4,1,1,0,3,0,0,2,2,1,0,0,1,0,0,0.50617284,0,1,0,0,1
47,M,WHITE,38-42,0,High School Diploma,2,Drug,<1 year,4,6+,0,2,3,4,0,0,2,4+,0,1,2+,1,0,0,0.985765125,0,0,0,0,0
48,M,WHITE,38-42,0,High School Diploma,1,Violent/Sex,1-2 years,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0
49,M,WHITE,33-37,0,High School Diploma,3+,Other,<1 year,6,2,0,2,2,1,0,1,3+,1,0,2,1,1,0,1,0.734756098,0,1,1,0,0
50,M,BLACK,38-42,0,< HS Diploma,0,Drug,3+ years,7,6+,1,3,3,0,0,0,3+,1,0,0,2+,0,0,0,1.0,0,0,0,0,0
51,F,WHITE,43-47,0,Some College,0,Property,1-2 years,10+,6+,0,5+,5+,5+,0,1,3+,4+,0,3+,2+,1,0,0,0.064458371,0,0,0,0,0
52,M,WHITE,33-37,0,Some College,0,Drug,<1 year,10+,6+,1,5+,4,5+,0,0,3+,4+,0,3+,2+,1,0,0,0.0,0,1,1,0,0
53,M,WHITE,18-22,0,Some College,3+,Other,1-2 years,6,3,1,1,1,4,1,0,3+,2,1,1,1,1,1,0,0.286259542,1,1,0,1,0
54,M,BLACK,48 or older,0,< HS Diploma,3+,Drug,<1 year,10+,6+,2,5+,5+,5+,0,0,3+,4+,0,3+,2+,1,0,0,0.0,0,0,0,0,0
55,M,BLACK,38-42,0,High School Diploma,3+,Property,1-2 years,8,6+,0,5+,1,5+,0,0,3+,4+,0,3+,1,1,0,0,0.945794393,0,0,0,0,0
56,M,BLACK,23-27,0,< HS Diploma,3+,Unknown,3+ years,4,2,2,0,3,2,1,0,1,3,1,0,1,0,1,0,0.0,0,1,1,0,0
57,M,BLACK,38-42,0,High School Diploma,0,Violent/Sex,1-2 years,10+,6+,2,0,2,5+,0,0,3+,3,0,0,0,1,0,0,1.0,0,1,0,0,1
58,M,BLACK,38-42,0,Some College,0,Violent/Non-Sex,3+ years,10+,6+,3+,5+,1,5+,1,0,1,4+,1,1,0,1,1,0,0.0,0,1,0,0,1
59,M,BLACK,33-37,0,High School Diploma,3+,Unknown,1-2 years,6,6+,0,1,5+,4,0,0,3+,0,0,1,2+,0,0,0,0.211466165,0,1,1,0,0
60,M,WHITE,43-47,0,< HS Diploma,3+,Unknown,1-2 years,6,6+,0,0,5+,3,0,1,3+,4+,0,0,2+,1,0,0,0.0,0,1,0,1,0
61,M,BLACK,33-37,0,< HS Diploma,1,Property,3+ years,7,5,1,2,5+,3,0,0,2,4+,0,1,2+,0,0,0,0.220647773,0,0,0,0,0
62,F,WHITE,48 or older,0,< HS Diploma,0,Property,<1 year,10+,5,0,5+,0,5+,0,0,3+,4+,0,3+,0,1,0,0,0.0,0,0,0,0,0
63,M,BLACK,43-47,0,High School Diploma,2,Property,<1 year,10+,6+,2,5+,5+,5+,0,0,2,4+,0,2,1,1,0,0,0.314496314,0,0,0,0,0
64,F,WHITE,43-47,0,High School Diploma,2,Other,3+ years,10+,6+,3+,5+,1,5+,1,0,2,2,0,2,1,1,0,1,0.954819277,0,0,0,0,0
65,F,WHITE,48 or older,0,High School Diploma,0,Property,1-2 years,4,3,0,2,1,2,0,0,3+,1,0,2,1,0,0,0,0.254104769,0,1,1,0,0
66,M,BLACK,33-37,1,Some College,0,Property,1-2 years,10+,6+,0,5+,4,5+,0,0,3+,4+,0,3+,2+,1,0,0,0.0,0,1,1,0,0
67,M,BLACK,28-32,0,< HS Diploma,3+,Drug,1-2 years,4,5,0,2,1,2,1,0,2,4+,1,2,0,1,0,0,1.0,0,0,0,0,0
68,M,BLACK,33-37,0,High School Diploma,2,Drug,<1 year,10+,6+,1,5+,1,5+,0,0,2,4+,1,0,1,1,0,0,0.0,1,0,0,0,0
69,M,BLACK,33-37,0,High School Diploma,3+,Unknown,3+ years,10+,6+,3+,3,4,5+,0,0,1,4+,0,1,2+,1,0,0,0.186412593,0,0,0,0,0
70,F,WHITE,48 or older,0,< HS Diploma,0,Unknown,1-2 years,7,5,0,4,1,3,0,0,3+,4+,0,3+,1,1,0,0,0.708029197,0,1,0,0,1
71,M,WHITE,38-42,0,High School Diploma,2,Violent/Non-Sex,<1 year,8,6+,2,1,4,5+,0,1,2,4+,0,1,0,1,0,1,1.0,0,0,0,0,0
72,M,WHITE,33-37,0,< HS Diploma,0,Other,3+ years,10+,6+,1,5+,0,5+,0,1,2,3,0,2,0,1,0,0,0.964805825,0,0,0,0,0
73,M,BLACK,33-37,0,< HS Diploma,3+,Property,1-2 years,8,1,0,5+,1,1,0,0,3+,0,0,3+,0,0,0,0,0.0,1,0,0,0,0
74,M,WHITE,38-42,0,High School Diploma,3+,Property,<1 year,10+,6+,3+,5+,4,5+,0,1,3+,4+,1,3+,2+,1,0,1,0.943262411,0,1,1,0,0
75,M,BLACK,43-47,0,High School Diploma,0,Unknown,3+ years,6,6+,3+,2,4,2,1,1,3+,4+,1,0,2+,1,0,1,0.0,0,1,1,0,0
76,M,WHITE,43-47,0,Some College,3+,Unknown,3+ years,10+,6+,0,5+,1,4,0,0,3+,2,0,3+,0,0,0,0,0.25577812,0,0,0,0,0
77,F,WHITE,43-47,0,High School Diploma,2,Property,1-2 years,10+,3,1,5+,5+,3,0,0,3+,2,0,3+,2+,0,0,0,0.381201044,0,1,0,1,0
78,M,BLACK,33-37,0,< HS Diploma,1,Property,3+ years,8,5,1,2,4,5+,0,0,3+,4+,0,2,2+,1,0,0,0.605564648,0,0,0,0,0
80,M,BLACK,33-37,0,High School Diploma,2,Property,1-2 years,6,4,1,2,2,1,0,0,1,2,0,1,1,1,0,0,0.878930818,0,0,0,0,0
81,M,BLACK,33-37,0,High School Diploma,0,Violent/Non-Sex,1-2 years,10+,6+,3+,5+,2,5+,1,0,3+,4+,1,3+,1,1,1,0,0.01242236,0,1,1,0,0
82,M,BLACK,33-37,0,High School Diploma,1,Property,3+ years,10+,1,3+,4,0,5+,0,0,3+,3,0,3+,0,1,0,0,0.0,0,1,1,0,0
83,M,WHITE,48 or older,0,Some College,3+,Property,1-2 years,10+,6+,2,5+,1,5+,0,0,3+,2,0,3+,0,1,0,0,1.0,0,1,1,0,0
84,M,BLACK,38-42,0,High School Diploma,0,Drug,3+ years,10+,2,2,2,5+,5+,0,1,2,2,1,1,2+,1,0,0,0.227994228,0,0,0,0,0
85,F,BLACK,33-37,0,< HS Diploma,3+,Property,<1 year,10+,6+,3+,5+,0,5+,0,0,3+,4+,1,3+,0,1,0,0,0.0,0,1,1,0,0
86,M,WHITE,43-47,0,High School Diploma,0,Drug,1-2 years,9,6+,1,3,3,5+,0,0,2,4+,0,2,1,1,0,0,1.0,0,1,0,0,1
87,M,WHITE,28-32,0,High School Diploma,0,Drug,<1 year,7,6+,1,4,2,1,0,0,2,4+,0,2,2+,0,0,0,1.0,0,0,0,0,0
88,F,BLACK,33-37,0,High School Diploma,2,Violent/Non-Sex,3+ years,10+,6+,2,5+,1,5+,0,0,3+,2,1,3+,1,1,0,0,0.859838275,0,1,0,1,0
89,M,BLACK,33-37,0,High School Diploma,1,Drug,1-2 years,10+,6+,2,5+,2,5+,1,0,3+,4+,0,2,1,1,0,0,0.071763917,0,1,0,1,0
90,M,BLACK,43-47,0,High School Diploma,3+,Drug,1-2 years,7,6+,3+,0,4,4,0,1,1,1,0,0,2+,1,0,1,0.894085282,0,0,0,0,0
91,M,WHITE,33-37,0,High School Diploma,1,Property,1-2 years,8,5,0,5+,2,3,0,0,2,2,0,3+,0,0,0,0,0.876319759,0,0,0,0,0
92,M,BLACK,38-42,0,< HS Diploma,2,Drug,<1 year,10+,6+,2,1,1,5+,0,1,0,3,1,0,0,1,0,1,0.2890625,0,1,0,0,1
93,M,WHITE,33-37,0,High School Diploma,2,Other,<1 year,6,2,1,1,0,2,0,1,1,1,0,1,0,0,0,1,0.651072125,0,1,0,0,1
94,M,WHITE,28-32,0,High School Diploma,0,Property,<1 year,10+,6+,2,4,4,5+,0,1,1,4+,0,2,2+,1,0,0,1.0,0,1,1,0,0
95,M,BLACK,33-37,0,< HS Diploma,0,Unknown,1-2 years,10+,1,2,1,5+,1,0,0,3+,0,1,0,2+,0,0,0,1.0,0,1,0,0,1
96,M,WHITE,43-47,0,High School Diploma,0,Property,1-2 years,10+,6+,0,5+,2,5+,1,0,3+,3,0,3+,1,1,0,0,0.153036437,0,1,1,0,0
97,F,WHITE,28-32,0,< HS Diploma,1,Property,3+ years,10+,6+,0,4,2,5+,0,0,2,3,0,3+,2+,1,0,0,0.173202614,0,0,0,0,0
98,M,WHITE,33-37,0,High School Diploma,0,Other,1-2 years,6,5,0,0,5+,3,0,1,2,3,0,0,2+,1,0,1,1.0,0,1,1,0,0
99,M,WHITE,48 or older,0,High School Diploma,3+,Property,3+ years,10+,6+,0,5+,0,3,0,0,2,4+,0,3+,0,1,0,0,0.0,0,0,0,0,0
100,M,WHITE,48 or older,0,High School Diploma,1,Drug,3+ years,10+,6+,2,0,5+,5+,0,1,3+,4+,0,0,2+,1,0,0,0.0,0,0,0,0,0
101,F,BLACK,33-37,0,Some College,0,Property,<1 year,4,2,0,3,0,3,0,0,2,1,0,2,0,1,0,0,1.0,0,0,0,0,0
102,M,WHITE,48 or older,0,High School Diploma,2,Drug,<1 year,9,5,1,4,5+,2,0,0,3+,3,0,3+,2+,0,0,0,1.0,0,1,0,1,0
103,M,WHITE,38-42,0,< HS Diploma,3+,Unknown,<1 year,5,2,3+,0,3,1,1,0,3+,1,1,0,1,1,0,0,0.0,0,1,0,0,1
104,M,BLACK,33-37,0,High School Diploma,2,Violent/Non-Sex,3+ years,7,6+,2,3,0,5+,0,0,1,2,1,1,0,1,0,0,0.974421437,0,0,0,0,0
105,F,BLACK,43-47,0,< HS Diploma,3+,Property,<1 year,10+,6+,2,5+,2,2,0,0,3+,2,1,3+,2+,0,0,0,0.673913043,1,1,0,1,0
106,M,WHITE,43-47,0,High School Diploma,3+,Property,<1 year,10+,6+,1,5+,1,5+,0,0,3+,4+,0,3+,2+,1,0,0,1.0,0,1,0,1,0
107,F,WHITE,38-42,0,< HS Diploma,0,Drug,<1 year,10+,6+,2,4,3,5+,0,0,3+,4+,0,3+,2+,1,0,0,0.0,0,0,0,0,0
108,M,BLACK,48 or older,0,High School Diploma,3+,Unknown,1-2 years,3,1,0,0,4,0,0,0,2,1,1,0,2+,0,1,0,0.0,0,0,0,0,0
109,F,WHITE,43-47,0,< HS Diploma,1,Property,3+ years,10+,6+,1,5+,2,5+,0,0,3+,4+,0,3+,1,1,0,0,0.459378134,1,1,0,1,0
110,M,BLACK,48 or older,0,< HS Diploma,0,Violent/Non-Sex,3+ years,10+,6+,3+,5+,3,5+,0,0,3+,4+,1,3+,1,1,0,0,0.395209581,0,1,1,0,0
111,M,WHITE,33-37,0,High School Diploma,1,Unknown,1-2 years,10+,6+,2,1,5+,5+,0,0,3+,4+,1,0,2+,1,0,0,0.473520249,0,1,0,1,0
112,M,BLACK,38-42,0,Some College,0,Property,1-2 years,10+,1,0,5+,0,1,0,0,3+,1,0,3+,0,1,0,0,0.0,0,1,0,0,1
113,M,WHITE,33-37,1,< HS Diploma,3+,Property,1-2 years,10+,6+,1,5+,2,5+,0,0,3+,4+,0,3+,2+,1,0,0,0.0,0,1,1,0,0
114,M,BLACK,43-47,0,High School Diploma,1,Drug,3+ years,10+,6+,0,1,5+,5+,0,0,3+,4+,0,0,2+,1,0,0,0.275189599,0,0,0,0,0
115,M,WHITE,38-42,1,< HS Diploma,0,Property,<1 year,10+,5,3+,5+,0,5+,0,0,3+,2,1,3+,0,1,0,0,0.0,0,1,0,0,1
116,M,WHITE,48 or older,0,< HS Diploma,3+,Unknown,<1 year,10+,6+,3+,5+,1,5+,1,0,3+,4+,0,3+,0,1,0,0,1.0,0,0,0,0,0
117,M,BLACK,48 or older,0,High School Diploma,3+,Property,3+ years,10+,6+,3+,5+,2,4,1,1,3+,1,1,3+,1,0,0,0,0.159137577,1,1,1,0,0
118,M,WHITE,48 or older,0,< HS Diploma,3+,Drug,1-2 years,4,6+,2,0,2,5+,0,1,3+,4+,1,0,2+,1,1,1,0.484888305,0,1,0,0,1
119,M,BLACK,48 or older,0,< HS Diploma,0,Drug,<1 year,9,6+,3+,3,3,5+,0,0,2,4+,0,0,2+,1,0,0,0.318376068,1,0,0,0,0
120,M,WHITE,48 or older,0,High School Diploma,1,Drug,<1 year,10+,3,2,2,3,2,1,0,3+,2,1,1,2+,1,0,0,0.811881188,0,1,1,0,0
121,M,BLACK,38-42,0,Some College,3+,Violent/Non-Sex,3+ years,9,6+,2,5+,1,5+,1,1,3+,4+,1,3+,1,0,0,0,0.617391304,0,0,0,0,0
122,M,BLACK,33-37,0,High School Diploma,3+,Unknown,1-2 years,5,6+,0,2,4,5+,0,0,2,4+,0,1,2+,1,0,0,0.815384615,0,0,0,0,0
123,M,BLACK,28-32,0,< HS Diploma,3+,Violent/Non-Sex,3+ years,10+,6+,3+,4,3,5+,1,1,1,4+,0,2,1,1,1,0,0.665924276,0,1,0,1,0
124,M,WHITE,33-37,0,High School Diploma,0,Other,3+ years,10+,5,1,5+,2,3,0,1,1,3,1,3+,2+,1,1,1,1.0,1,1,0,0,1
125,M,WHITE,48 or older,0,High School Diploma,2,Property,3+ years,10+,6+,3+,5+,0,5+,0,0,3+,4+,1,3+,0,1,0,0,0.0,0,0,0,0,0
126,M,WHITE,33-37,1,High School Diploma,3+,Property,3+ years,8,6+,0,5+,1,2,0,0,3+,2,0,3+,1,1,0,0,0.970792768,0,1,0,0,1
127,F,WHITE,38-42,0,Some College,3+,Drug,1-2 years,9,4,1,3,4,3,0,0,3+,1,0,1,2+,1,0,0,1.0,0,0,0,0,0
128,M,WHITE,48 or older,0,High School Diploma,1,Property,3+ years,6,4,1,5+,0,0,1,0,3+,4+,1,3+,0,0,1,0,0.411483254,0,1,0,1,0
129,M,WHITE,33-37,0,High School Diploma,3+,Property,<1 year,6,6+,0,3,3,5+,0,0,1,4+,0,3+,2+,1,0,0,0.109181141,0,1,1,0,0
130,M,WHITE,33-37,0,High School Diploma,2,Other,3+ years,10+,6+,1,3,4,5+,0,0,3+,4+,0,1,2+,1,0,0,1.0,0,1,1,0,0
131,F,BLACK,43-47,0,< HS Diploma,2,Violent/Non-Sex,1-2 years,1,2,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0.0,0,1,0,1,0
132,M,WHITE,33-37,1,< HS Diploma,3+,Drug,<1 year,10+,6+,3+,5+,5+,5+,0,0,3+,4+,0,1,2+,1,0,0,0.0,0,1,1,0,0
133,F,WHITE,48 or older,0,Some College,0,Unknown,1-2 years,10+,6+,1,5+,5+,3,0,1,3+,4+,0,3+,2+,1,0,0,0.457112413,1,1,0,1,0
134,F,BLACK,33-37,0,< HS Diploma,3+,Property,1-2 years,9,4,0,5+,1,5+,0,0,3+,4+,0,3+,1,1,0,0,0.74291498,1,0,0,0,0
135,F,WHITE,38-42,0,High School Diploma,0,Drug,3+ years,10+,6+,0,5+,1,2,0,0,3+,4+,0,3+,0,1,0,0,0.296613995,0,1,0,0,1
136,M,WHITE,38-42,0,High School Diploma,0,Unknown,3+ years,7,3,0,0,4,5+,0,1,3+,1,0,0,2+,1,0,0,1.0,0,0,0,0,0
137,M,WHITE,33-37,0,< HS Diploma,3+,Property,<1 year,5,5,1,2,1,5+,1,0,2,2,0,2,1,1,0,0,1.0,0,1,1,0,0
138,M,WHITE,33-37,0,High School Diploma,2,Drug,<1 year,7,6+,0,2,4,5+,0,1,3+,4+,0,1,2+,1,0,0,1.0,0,1,0,1,0
139,M,WHITE,33-37,0,High School Diploma,0,Other,3+ years,7,5,0,0,5+,5+,0,0,2,2,0,0,2+,1,0,1,1.0,0,1,1,0,0
140,M,WHITE,38-42,0,< HS Diploma,0,Property,<1 year,8,6+,1,5+,2,5+,0,0,3+,3,0,3+,1,1,0,0,0.0,0,0,0,0,0
141,F,WHITE,43-47,0,High School Diploma,3+,Drug,3+ years,6,4,0,1,2,4,0,0,3+,2,0,1,2+,1,0,0,1.0,0,0,0,0,0
142,M,BLACK,33-37,0,High School Diploma,3+,Drug,<1 year,6,4,1,0,5+,5+,0,0,1,2,0,0,2+,1,0,0,0.0,0,0,0,0,0
143,M,BLACK,48 or older,0,High School Diploma,0,Violent/Non-Sex,1-2 years,10+,6+,3+,5+,4,5+,1,0,3+,2,0,3+,1,1,0,0,0.0,1,1,1,0,0
144,M,BLACK,48 or older,0,< HS Diploma,0,Property,3+ years,10+,3,0,5+,3,5+,0,0,3+,2,0,3+,2+,1,0,0,1.0,0,0,0,0,0
145,M,WHITE,43-47,0,Some College,1,Violent/Non-Sex,3+ years,5,6+,3+,3,0,2,1,1,2,1,1,1,0,0,0,0,0.924214418,0,1,0,1,0
146,M,WHITE,38-42,0,High School Diploma,0,Property,<1 year,10+,6+,1,5+,1,5+,0,0,3+,3,0,3+,0,1,0,0,1.0,0,0,0,0,0
147,M,WHITE,33-37,0,Some College,3+,Drug,<1 year,4,4,1,1,2,0,0,0,0,3,0,0,0,0,0,0,1.0,0,1,0,0,1
148,F,WHITE,38-42,0,High School Diploma,0,Property,<1 year,10+,3,1,5+,0,5+,0,0,3+,2,0,3+,0,0,0,0,0.0,1,1,0,1,0
149,M,BLACK,28-32,0,High School Diploma,1,Unknown,3+ years,10+,6+,0,0,5+,4,0,1,3+,3,0,0,2+,1,0,1,1.0,0,0,0,0,0
150,M,WHITE,28-32,0,< HS Diploma,3+,Violent/Sex,3+ years,6,6+,2,2,3,5+,0,1,1,2,0,0,1,1,0,0,0.713286713,0,1,1,0,0
151,M,BLACK,33-37,1,< HS Diploma,1,Violent/Non-Sex,3+ years,6,5,2,2,2,5+,0,0,3+,1,1,1,1,0,0,0,0.0,0,0,0,0,0
152,M,BLACK,33-37,0,High School Diploma,0,Drug,3+ years,3,0,0,0,2,1,0,1,2,1,0,0,2+,0,0,0,Unknown,0,0,0,0,0
153,M,BLACK,48 or older,0,< HS Diploma,0,Property,3+ years,10+,6+,2,5+,1,5+,0,0,3+,2,1,3+,0,0,0,0,0.329479769,0,0,0,0,0
