ID,Gender,Race,Age_at_Release,Gang_Affiliated,Education_Level,Dependents,Prison_Offense,Prison_Years,Prior_Arrest_Episodes_Felony,Prior_Arrest_Episodes_Misd,Prior_Arrest_Episodes_Violent,Prior_Arrest_Episodes_Property,Prior_Arrest_Episodes_Drug,Prior_Arrest_Episodes_PPViolationCharges,Prior_Arrest_Episodes_DVCharges,Prior_Arrest_Episodes_GunCharges,Prior_Conviction_Episodes_Felony,Prior_Conviction_Episodes_Misd,Prior_Conviction_Episodes_Viol,Prior_Conviction_Episodes_Prop,Prior_Conviction_Episodes_Drug,Prior_Conviction_Episodes_PPViolationCharges,Prior_Conviction_Episodes_DomesticViolenceCharges,Prior_Conviction_Episodes_GunCharges,Recidivism_Within_3years
28,M,WHITE,48 or older,0,< HS Diploma,0,Other,1-2 years,10+,6+,3+,5+,1,5+,0,0,3+,4+,1,3+,1,1,0,0,1
29,M,BLACK,43-47,0,High School Diploma,0,Property,3+ years,7,6+,0,5+,0,2,0,1,2,3,0,3+,0,1,0,0,0
30,M,BLACK,18-22,0,< HS Diploma,0,Property,1-2 years,5,2,0,2,4,1,0,0,0,0,0,0,0,0,0,0,1
31,M,WHITE,43-47,0,Some College,0,Property,1-2 years,10+,6+,3+,5+,0,5+,1,1,3+,4+,0,3+,0,1,0,0,1
32,F,WHITE,43-47,0,< HS Diploma,0,Property,1-2 years,10+,6+,2,5+,0,4,0,0,3+,4+,1,3+,0,1,0,0,0
33,M,WHITE,43-47,1,High School Diploma,1,Drug,1-2 years,10+,2,3+,4,2,5+,0,1,3+,3,1,1,2+,1,0,1,1
34,F,WHITE,38-42,0,Some College,3+,Property,1-2 years,10+,6+,0,5+,5+,5+,0,0,1,4+,0,3+,2+,1,0,0,1
35,M,WHITE,33-37,0,< HS Diploma,0,Drug,<1 year,5,6+,1,0,4,5+,0,1,3+,4+,0,0,2+,1,0,0,1
36,M,BLACK,48 or older,0,< HS Diploma,0,Drug,<1 year,10+,6+,1,5+,4,4,0,0,3+,4+,0,3+,1,1,0,0,0
37,M,WHITE,43-47,0,High School Diploma,2,Drug,<1 year,10+,6+,3+,1,5+,5+,0,0,3+,4+,1,0,2+,1,0,0,0
38,M,BLACK,33-37,1,< HS Diploma,0,Property,3+ years,10+,6+,0,5+,0,5+,0,0,2,4+,0,3+,0,1,0,0,1
39,M,BLACK,33-37,0,High School Diploma,3+,Violent/Non-Sex,<1 year,8,6+,2,2,1,5+,0,0,3+,4+,1,2,1,1,0,0,1
40,F,BLACK,38-42,0,Some College,1,Property,1-2 years,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41,M,WHITE,33-37,0,High School Diploma,1,Property,3+ years,10+,6+,1,5+,1,5+,0,0,3+,4+,1,3+,0,1,0,0,1
42,M,BLACK,48 or older,0,High School Diploma,3+,Violent/Non-Sex,1-2 years,9,4,3+,0,0,4,0,1,2,1,1,0,0,1,1,0,0
43,F,WHITE,43-47,0,Some College,0,Property,<1 year,10+,6+,3+,5+,1,5+,0,0,3+,2,0,3+,0,1,0,0,1
44,M,WHITE,33-37,0,High School Diploma,3+,Violent/Non-Sex,<1 year,10+,6+,2,4,4,5+,0,1,3+,4+,1,1,2+,1,0,1,1
45,M,BLACK,43-47,1,High School Diploma,0,Drug,1-2 years,8,6+,3+,2,2,5+,0,1,3+,2,1,1,2+,1,0,1,1
46,M,BLACK,38-42,0,< HS Diploma,3+,Violent/Non-Sex,3+ years,5,4,1,1,0,3,0,0,2,2,1,0,0,1,0,0,1
47,M,WHITE,38-42,0,High School Diploma,2,Drug,<1 year,4,6+,0,2,3,4,0,0,2,4+,0,1,2+,1,0,0,0
48,M,WHITE,38-42,0,High School Diploma,1,Violent/Sex,1-2 years,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
49,M,WHITE,33-37,0,High School Diploma,3+,Other,<1 year,6,2,0,2,2,1,0,1,3+,1,0,2,1,1,0,1,1
50,M,BLACK,38-42,0,< HS Diploma,0,Drug,3+ years,7,6+,1,3,3,0,0,0,3+,1,0,0,2+,0,0,0,0
51,F,WHITE,43-47,0,Some College,0,Property,1-2 years,10+,6+,0,5+,5+,5+,0,1,3+,4+,0,3+,2+,1,0,0,0
52,M,WHITE,33-37,0,Some College,0,Drug,<1 year,10+,6+,1,5+,4,5+,0,0,3+,4+,0,3+,2+,1,0,0,1
53,M,WHITE,18-22,0,Some College,3+,Other,1-2 years,6,3,1,1,1,4,1,0,3+,2,1,1,1,1,1,0,1
54,M,BLACK,48 or older,0,< HS Diploma,3+,Drug,<1 year,10+,6+,2,5+,5+,5+,0,0,3+,4+,0,3+,2+,1,0,0,0
55,M,BLACK,38-42,0,High School Diploma,3+,Property,1-2 years,8,6+,0,5+,1,5+,0,0,3+,4+,0,3+,1,1,0,0,0
56,M,BLACK,23-27,0,< HS Diploma,3+,Unknown,3+ years,4,2,2,0,3,2,1,0,1,3,1,0,1,0,1,0,1
57,M,BLACK,38-42,0,High School Diploma,0,Violent/Sex,1-2 years,10+,6+,2,0,2,5+,0,0,3+,3,0,0,0,1,0,0,1
58,M,BLACK,38-42,0,Some College,0,Violent/Non-Sex,3+ years,10+,6+,3+,5+,1,5+,1,0,1,4+,1,1,0,1,1,0,1
59,M,BLACK,33-37,0,High School Diploma,3+,Unknown,1-2 years,6,6+,0,1,5+,4,0,0,3+,0,0,1,2+,0,0,0,1
60,M,WHITE,43-47,0,< HS Diploma,3+,Unknown,1-2 years,6,6+,0,0,5+,3,0,1,3+,4+,0,0,2+,1,0,0,1
61,M,BLACK,33-37,0,< HS Diploma,1,Property,3+ years,7,5,1,2,5+,3,0,0,2,4+,0,1,2+,0,0,0,0
62,F,WHITE,48 or older,0,< HS Diploma,0,Property,<1 year,10+,5,0,5+,0,5+,0,0,3+,4+,0,3+,0,1,0,0,0
63,M,BLACK,43-47,0,High School Diploma,2,Property,<1 year,10+,6+,2,5+,5+,5+,0,0,2,4+,0,2,1,1,0,0,0
64,F,WHITE,43-47,0,High School Diploma,2,Other,3+ years,10+,6+,3+,5+,1,5+,1,0,2,2,0,2,1,1,0,1,0
65,F,WHITE,48 or older,0,High School Diploma,0,Property,1-2 years,4,3,0,2,1,2,0,0,3+,1,0,2,1,0,0,0,1
66,M,BLACK,33-37,1,Some College,0,Property,1-2 years,10+,6+,0,5+,4,5+,0,0,3+,4+,0,3+,2+,1,0,0,1
67,M,BLACK,28-32,0,< HS Diploma,3+,Drug,1-2 years,4,5,0,2,1,2,1,0,2,4+,1,2,0,1,0,0,0
68,M,BLACK,33-37,0,High School Diploma,2,Drug,<1 year,10+,6+,1,5+,1,5+,0,0,2,4+,1,0,1,1,0,0,0
69,M,BLACK,33-37,0,High School Diploma,3+,Unknown,3+ years,10+,6+,3+,3,4,5+,0,0,1,4+,0,1,2+,1,0,0,0
70,F,WHITE,48 or older,0,< HS Diploma,0,Unknown,1-2 years,7,5,0,4,1,3,0,0,3+,4+,0,3+,1,1,0,0,1
71,M,WHITE,38-42,0,High School Diploma,2,Violent/Non-Sex,<1 year,8,6+,2,1,4,5+,0,1,2,4+,0,1,0,1,0,1,0
72,M,WHITE,33-37,0,< HS Diploma,0,Other,3+ years,10+,6+,1,5+,0,5+,0,1,2,3,0,2,0,1,0,0,0
73,M,BLACK,33-37,0,< HS Diploma,3+,Property,1-2 years,8,1,0,5+,1,1,0,0,3+,0,0,3+,0,0,0,0,0
74,M,WHITE,38-42,0,High School Diploma,3+,Property,<1 year,10+,6+,3+,5+,4,5+,0,1,3+,4+,1,3+,2+,1,0,1,1
75,M,BLACK,43-47,0,High School Diploma,0,Unknown,3+ years,6,6+,3+,2,4,2,1,1,3+,4+,1,0,2+,1,0,1,1
76,M,WHITE,43-47,0,Some College,3+,Unknown,3+ years,10+,6+,0,5+,1,4,0,0,3+,2,0,3+,0,0,0,0,0
77,F,WHITE,43-47,0,High School Diploma,2,Property,1-2 years,10+,3,1,5+,5+,3,0,0,3+,2,0,3+,2+,0,0,0,1
78,M,BLACK,33-37,0,< HS Diploma,1,Property,3+ years,8,5,1,2,4,5+,0,0,3+,4+,0,2,2+,1,0,0,0
80,M,BLACK,33-37,0,High School Diploma,2,Property,1-2 years,6,4,1,2,2,1,0,0,1,2,0,1,1,1,0,0,0
81,M,BLACK,33-37,0,High School Diploma,0,Violent/Non-Sex,1-2 years,10+,6+,3+,5+,2,5+,1,0,3+,4+,1,3+,1,1,1,0,1
82,M,BLACK,33-37,0,High School Diploma,1,Property,3+ years,10+,1,3+,4,0,5+,0,0,3+,3,0,3+,0,1,0,0,1
83,M,WHITE,48 or older,0,Some College,3+,Property,1-2 years,10+,6+,2,5+,1,5+,0,0,3+,2,0,3+,0,1,0,0,1
84,M,BLACK,38-42,0,High School Diploma,0,Drug,3+ years,10+,2,2,2,5+,5+,0,1,2,2,1,1,2+,1,0,0,0
85,F,BLACK,33-37,0,< HS Diploma,3+,Property,<1 year,10+,6+,3+,5+,0,5+,0,0,3+,4+,1,3+,0,1,0,0,1
86,M,WHITE,43-47,0,High School Diploma,0,Drug,1-2 years,9,6+,1,3,3,5+,0,0,2,4+,0,2,1,1,0,0,1
87,M,WHITE,28-32,0,High School Diploma,0,Drug,<1 year,7,6+,1,4,2,1,0,0,2,4+,0,2,2+,0,0,0,0
88,F,BLACK,33-37,0,High School Diploma,2,Violent/Non-Sex,3+ years,10+,6+,2,5+,1,5+,0,0,3+,2,1,3+,1,1,0,0,1
89,M,BLACK,33-37,0,High School Diploma,1,Drug,1-2 years,10+,6+,2,5+,2,5+,1,0,3+,4+,0,2,1,1,0,0,1
90,M,BLACK,43-47,0,High School Diploma,3+,Drug,1-2 years,7,6+,3+,0,4,4,0,1,1,1,0,0,2+,1,0,1,0
91,M,WHITE,33-37,0,High School Diploma,1,Property,1-2 years,8,5,0,5+,2,3,0,0,2,2,0,3+,0,0,0,0,0
92,M,BLACK,38-42,0,< HS Diploma,2,Drug,<1 year,10+,6+,2,1,1,5+,0,1,0,3,1,0,0,1,0,1,1
93,M,WHITE,33-37,0,High School Diploma,2,Other,<1 year,6,2,1,1,0,2,0,1,1,1,0,1,0,0,0,1,1
94,M,WHITE,28-32,0,High School Diploma,0,Property,<1 year,10+,6+,2,4,4,5+,0,1,1,4+,0,2,2+,1,0,0,1
95,M,BLACK,33-37,0,< HS Diploma,0,Unknown,1-2 years,10+,1,2,1,5+,1,0,0,3+,0,1,0,2+,0,0,0,1
96,M,WHITE,43-47,0,High School Diploma,0,Property,1-2 years,10+,6+,0,5+,2,5+,1,0,3+,3,0,3+,1,1,0,0,1
97,F,WHITE,28-32,0,< HS Diploma,1,Property,3+ years,10+,6+,0,4,2,5+,0,0,2,3,0,3+,2+,1,0,0,0
98,M,WHITE,33-37,0,High School Diploma,0,Other,1-2 years,6,5,0,0,5+,3,0,1,2,3,0,0,2+,1,0,1,1
99,M,WHITE,48 or older,0,High School Diploma,3+,Property,3+ years,10+,6+,0,5+,0,3,0,0,2,4+,0,3+,0,1,0,0,0
100,M,WHITE,48 or older,0,High School Diploma,1,Drug,3+ years,10+,6+,2,0,5+,5+,0,1,3+,4+,0,0,2+,1,0,0,0
101,F,BLACK,33-37,0,Some College,0,Property,<1 year,4,2,0,3,0,3,0,0,2,1,0,2,0,1,0,0,0
102,M,WHITE,48 or older,0,High School Diploma,2,Drug,<1 year,9,5,1,4,5+,2,0,0,3+,3,0,3+,2+,0,0,0,1
103,M,WHITE,38-42,0,< HS Diploma,3+,Unknown,<1 year,5,2,3+,0,3,1,1,0,3+,1,1,0,1,1,0,0,1
104,M,BLACK,33-37,0,High School Diploma,2,Violent/Non-Sex,3+ years,7,6+,2,3,0,5+,0,0,1,2,1,1,0,1,0,0,0
105,F,BLACK,43-47,0,< HS Diploma,3+,Property,<1 year,10+,6+,2,5+,2,2,0,0,3+,2,1,3+,2+,0,0,0,1
106,M,WHITE,43-47,0,High School Diploma,3+,Property,<1 year,10+,6+,1,5+,1,5+,0,0,3+,4+,0,3+,2+,1,0,0,1
107,F,WHITE,38-42,0,< HS Diploma,0,Drug,<1 year,10+,6+,2,4,3,5+,0,0,3+,4+,0,3+,2+,1,0,0,0
108,M,BLACK,48 or older,0,High School Diploma,3+,Unknown,1-2 years,3,1,0,0,4,0,0,0,2,1,1,0,2+,0,1,0,0
109,F,WHITE,43-47,0,< HS Diploma,1,Property,3+ years,10+,6+,1,5+,2,5+,0,0,3+,4+,0,3+,1,1,0,0,1
110,M,BLACK,48 or older,0,< HS Diploma,0,Violent/Non-Sex,3+ years,10+,6+,3+,5+,3,5+,0,0,3+,4+,1,3+,1,1,0,0,1
111,M,WHITE,33-37,0,High School Diploma,1,Unknown,1-2 years,10+,6+,2,1,5+,5+,0,0,3+,4+,1,0,2+,1,0,0,1
112,M,BLACK,38-42,0,Some College,0,Property,1-2 years,10+,1,0,5+,0,1,0,0,3+,1,0,3+,0,1,0,0,1
113,M,WHITE,33-37,1,< HS Diploma,3+,Property,1-2 years,10+,6+,1,5+,2,5+,0,0,3+,4+,0,3+,2+,1,0,0,1
114,M,BLACK,43-47,0,High School Diploma,1,Drug,3+ years,10+,6+,0,1,5+,5+,0,0,3+,4+,0,0,2+,1,0,0,0
115,M,WHITE,38-42,1,< HS Diploma,0,Property,<1 year,10+,5,3+,5+,0,5+,0,0,3+,2,1,3+,0,1,0,0,1
116,M,WHITE,48 or older,0,< HS Diploma,3+,Unknown,<1 year,10+,6+,3+,5+,1,5+,1,0,3+,4+,0,3+,0,1,0,0,0
117,M,BLACK,48 or older,0,High School Diploma,3+,Property,3+ years,10+,6+,3+,5+,2,4,1,1,3+,1,1,3+,1,0,0,0,1
118,M,WHITE,48 or older,0,< HS Diploma,3+,Drug,1-2 years,4,6+,2,0,2,5+,0,1,3+,4+,1,0,2+,1,1,1,1
119,M,BLACK,48 or older,0,< HS Diploma,0,Drug,<1 year,9,6+,3+,3,3,5+,0,0,2,4+,0,0,2+,1,0,0,0
120,M,WHITE,48 or older,0,High School Diploma,1,Drug,<1 year,10+,3,2,2,3,2,1,0,3+,2,1,1,2+,1,0,0,1
121,M,BLACK,38-42,0,Some College,3+,Violent/Non-Sex,3+ years,9,6+,2,5+,1,5+,1,1,3+,4+,1,3+,1,0,0,0,0
122,M,BLACK,33-37,0,High School Diploma,3+,Unknown,1-2 years,5,6+,0,2,4,5+,0,0,2,4+,0,1,2+,1,0,0,0
123,M,BLACK,28-32,0,< HS Diploma,3+,Violent/Non-Sex,3+ years,10+,6+,3+,4,3,5+,1,1,1,4+,0,2,1,1,1,0,1
124,M,WHITE,33-37,0,High School Diploma,0,Other,3+ years,10+,5,1,5+,2,3,0,1,1,3,1,3+,2+,1,1,1,1
125,M,WHITE,48 or older,0,High School Diploma,2,Property,3+ years,10+,6+,3+,5+,0,5+,0,0,3+,4+,1,3+,0,1,0,0,0
126,M,WHITE,33-37,1,High School Diploma,3+,Property,3+ years,8,6+,0,5+,1,2,0,0,3+,2,0,3+,1,1,0,0,1
127,F,WHITE,38-42,0,Some College,3+,Drug,1-2 years,9,4,1,3,4,3,0,0,3+,1,0,1,2+,1,0,0,0
128,M,WHITE,48 or older,0,High School Diploma,1,Property,3+ years,6,4,1,5+,0,0,1,0,3+,4+,1,3+,0,0,1,0,1
129,M,WHITE,33-37,0,High School Diploma,3+,Property,<1 year,6,6+,0,3,3,5+,0,0,1,4+,0,3+,2+,1,0,0,1
130,M,WHITE,33-37,0,High School Diploma,2,Other,3+ years,10+,6+,1,3,4,5+,0,0,3+,4+,0,1,2+,1,0,0,1
131,F,BLACK,43-47,0,< HS Diploma,2,Violent/Non-Sex,1-2 years,1,2,1,0,0,2,0,0,1,0,1,0,0,0,0,0,1
132,M,WHITE,33-37,1,< HS Diploma,3+,Drug,<1 year,10+,6+,3+,5+,5+,5+,0,0,3+,4+,0,1,2+,1,0,0,1
133,F,WHITE,48 or older,0,Some College,0,Unknown,1-2 years,10+,6+,1,5+,5+,3,0,1,3+,4+,0,3+,2+,1,0,0,1
134,F,BLACK,33-37,0,< HS Diploma,3+,Property,1-2 years,9,4,0,5+,1,5+,0,0,3+,4+,0,3+,1,1,0,0,0
135,F,WHITE,38-42,0,High School Diploma,0,Drug,3+ years,10+,6+,0,5+,1,2,0,0,3+,4+,0,3+,0,1,0,0,1
136,M,WHITE,38-42,0,High School Diploma,0,Unknown,3+ years,7,3,0,0,4,5+,0,1,3+,1,0,0,2+,1,0,0,0
137,M,WHITE,33-37,0,< HS Diploma,3+,Property,<1 year,5,5,1,2,1,5+,1,0,2,2,0,2,1,1,0,0,1
138,M,WHITE,33-37,0,High School Diploma,2,Drug,<1 year,7,6+,0,2,4,5+,0,1,3+,4+,0,1,2+,1,0,0,1
139,M,WHITE,33-37,0,High School Diploma,0,Other,3+ years,7,5,0,0,5+,5+,0,0,2,2,0,0,2+,1,0,1,1
140,M,WHITE,38-42,0,< HS Diploma,0,Property,<1 year,8,6+,1,5+,2,5+,0,0,3+,3,0,3+,1,1,0,0,0
141,F,WHITE,43-47,0,High School Diploma,3+,Drug,3+ years,6,4,0,1,2,4,0,0,3+,2,0,1,2+,1,0,0,0
142,M,BLACK,33-37,0,High School Diploma,3+,Drug,<1 year,6,4,1,0,5+,5+,0,0,1,2,0,0,2+,1,0,0,0
143,M,BLACK,48 or older,0,High School Diploma,0,Violent/Non-Sex,1-2 years,10+,6+,3+,5+,4,5+,1,0,3+,2,0,3+,1,1,0,0,1
144,M,BLACK,48 or older,0,< HS Diploma,0,Property,3+ years,10+,3,0,5+,3,5+,0,0,3+,2,0,3+,2+,1,0,0,0
145,M,WHITE,43-47,0,Some College,1,Violent/Non-Sex,3+ years,5,6+,3+,3,0,2,1,1,2,1,1,1,0,0,0,0,1
146,M,WHITE,38-42,0,High School Diploma,0,Property,<1 year,10+,6+,1,5+,1,5+,0,0,3+,3,0,3+,0,1,0,0,0
147,M,WHITE,33-37,0,Some College,3+,Drug,<1 year,4,4,1,1,2,0,0,0,0,3,0,0,0,0,0,0,1
148,F,WHITE,38-42,0,High School Diploma,0,Property,<1 year,10+,3,1,5+,0,5+,0,0,3+,2,0,3+,0,0,0,0,1
149,M,BLACK,28-32,0,High School Diploma,1,Unknown,3+ years,10+,6+,0,0,5+,4,0,1,3+,3,0,0,2+,1,0,1,0
150,M,WHITE,28-32,0,< HS Diploma,3+,Violent/Sex,3+ years,6,6+,2,2,3,5+,0,1,1,2,0,0,1,1,0,0,1
151,M,BLACK,33-37,1,< HS Diploma,1,Violent/Non-Sex,3+ years,6,5,2,2,2,5+,0,0,3+,1,1,1,1,0,0,0,0
152,M,BLACK,33-37,0,High School Diploma,0,Drug,3+ years,3,0,0,0,2,1,0,1,2,1,0,0,2+,0,0,0,0
153,M,BLACK,48 or older,0,< HS Diploma,0,Property,3+ years,10+,6+,2,5+,1,5+,0,0,3+,2,1,3+,0,0,0,0,0
154,M,WHITE,48 or older,0,High School Diploma,3+,Property,3+ years,10+,6+,2,5+,2,5+,1,0,0,4+,1,0,0,1,1,0,1
155,M,BLACK,38-42,1,High School Diploma,3+,Other,<1 year,7,6+,3+,2,2,5+,1,1,3+,4+,1,1,1,1,0,1,1
156,M,WHITE,33-37,0,High School Diploma,3+,Drug,<1 year,8,6+,3+,3,3,5+,0,1,2,4+,1,1,1,1,1,1,0
157,M,WHITE,48 or older,0,< HS Diploma,3+,Property,1-2 years,10+,6+,2,3,0,5+,0,0,3+,4+,1,1,0,1,0,0,0
158,M,BLACK,48 or older,0,High School Diploma,3+,Property,3+ years,10+,6+,3+,5+,2,5+,0,0,3+,4+,1,3+,0,1,0,0,1
159,M,BLACK,33-37,1,< HS Diploma,1,Violent/Non-Sex,3+ years,7,1,2,1,1,2,1,1,0,1,1,0,0,1,0,1,1
160,M,WHITE,38-42,1,High School Diploma,2,Property,<1 year,8,6+,0,5+,0,0,0,0,2,4+,0,3+,0,0,0,0,1
161,M,BLACK,43-47,0,High School Diploma,0,Drug,1-2 years,10+,5,3+,3,3,5+,0,0,3+,1,1,3+,0,1,0,1,1
162,M,BLACK,43-47,0,Some College,3+,Drug,<1 year,3,6+,2,0,4,1,0,1,1,2,1,0,2+,0,0,0,0
163,M,BLACK,48 or older,0,Some College,1,Property,3+ years,10+,0,0,5+,1,4,0,0,3+,0,0,3+,0,1,0,0,1
164,F,WHITE,33-37,0,Some College,2,Property,<1 year,10+,6+,0,5+,2,4,0,0,3+,4+,0,3+,0,1,0,0,1
165,M,BLACK,28-32,1,High School Diploma,0,Property,1-2 years,10+,3,0,5+,0,1,0,1,3+,0,0,3+,0,0,0,0,1
166,M,WHITE,43-47,0,High School Diploma,2,Unknown,1-2 years,10+,6+,0,2,5+,5+,0,1,3+,4+,0,2,2+,1,0,1,1
167,M,BLACK,33-37,1,High School Diploma,3+,Other,1-2 years,8,6+,2,0,3,5+,0,1,3+,4+,1,0,2+,1,1,0,1
168,M,BLACK,48 or older,0,High School Diploma,2,Other,<1 year,4,6+,0,0,0,3,0,0,1,4+,0,0,0,1,0,0,1
169,M,WHITE,28-32,0,High School Diploma,0,Property,<1 year,5,6+,1,2,0,5+,0,0,2,4+,1,1,0,1,0,0,1
170,M,WHITE,48 or older,0,< HS Diploma,0,Violent/Non-Sex,3+ years,10+,3,3+,5+,1,3,0,1,3+,3,1,3+,0,1,0,0,1
171,M,WHITE,38-42,0,High School Diploma,3+,Drug,<1 year,9,6+,1,4,5+,3,1,1,3+,3,1,3+,1,1,1,1,1
172,M,BLACK,38-42,0,Some College,1,Other,<1 year,7,5,1,2,3,5+,0,0,2,2,1,2,2+,0,0,0,1
173,M,BLACK,28-32,0,< HS Diploma,0,Violent/Non-Sex,3+ years,9,6+,2,5+,0,5+,1,0,3+,4+,1,3+,0,0,1,0,1
174,M,WHITE,38-42,0,High School Diploma,0,Violent/Non-Sex,1-2 years,4,6+,3+,0,1,4,1,0,3+,4+,1,0,1,1,1,0,1
175,M,BLACK,48 or older,0,High School Diploma,3+,Violent/Non-Sex,3+ years,8,6+,2,5+,1,5+,0,0,3+,4+,1,3+,1,1,0,0,0
176,F,WHITE,33-37,0,Some College,3+,Property,1-2 years,10+,2,0,5+,0,5+,0,0,3+,4+,0,3+,0,1,0,0,0
177,M,BLACK,38-42,1,< HS Diploma,3+,Property,3+ years,10+,6+,3+,5+,2,5+,0,1,3+,4+,1,3+,1,1,0,1,1
178,M,BLACK,23-27,1,< HS Diploma,0,Violent/Non-Sex,3+ years,2,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1
179,M,WHITE,38-42,0,< HS Diploma,2,Property,3+ years,8,6+,2,5+,3,3,1,1,3+,3,1,3+,2+,1,0,1,0
180,M,BLACK,43-47,0,< HS Diploma,0,Property,<1 year,10+,6+,0,5+,0,5+,0,0,3+,3,0,3+,0,1,0,0,1
181,M,WHITE,28-32,1,High School Diploma,1,Violent/Non-Sex,1-2 years,6,5,1,2,3,5+,0,0,1,1,1,1,2+,1,0,1,1
